Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\Amol progenitor 96.96 index sort\141028EES Amol index plate2\ChipRun.bml,1361995093,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-10-28 12:41:43,00:30:58,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A54,NTC2,Unknown,1,Ccne1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A53,NTC2,Unknown,1,Slamf1,Test,21.5475321010939,0,Fail,0.0203228454321514,999,76.7907970185499,0,
S96-A52,NTC2,Unknown,1,Lmo2,Test,17.6638760142802,0,Fail,0.0203228454321514,999,999,0,
S96-A51,NTC2,Unknown,1,Gata1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A50,NTC2,Unknown,1,Dntt,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A49,NTC2,Unknown,1,Cd34,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A60,NTC2,Unknown,1,Nfe2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A59,NTC2,Unknown,1,Zfp612,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A58,NTC2,Unknown,1,Tcf3,Test,13.5203844646106,1,Pass,0.0203228454321514,85.4173910859472,999,1,
S96-A57,NTC2,Unknown,1,Nkx2-3,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A56,NTC2,Unknown,1,Ly6a,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A55,NTC2,Unknown,1,Etv6,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A66,NTC2,Unknown,1,CDK2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A65,NTC2,Unknown,1,Tal1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A64,NTC2,Unknown,1,Meis1,Test,21.2122822836713,1,Fail,0.0203228454321514,77.6246054634145,999,1,
S96-A63,NTC2,Unknown,1,Gata2,Test,19.8277399725363,0,Fail,0.0203228454321514,999,78.2650613331992,0,
S96-A62,NTC2,Unknown,1,Ebf1,Test,18.0711839744452,0,Fail,0.0203228454321514,999,77.9985334554577,0,
S96-A61,NTC2,Unknown,1,Cd48,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A72,NTC2,Unknown,1,Pbx1,Test,25.9604906487561,0,Fail,0.0203228454321514,999,89.0002839863105,0,
