Experiment Name,141020 Index sort for fluidigm 96X96
Specimen Name,Specimen_001
Tube Name,INX_141020 Plate #2_001
Record Date,Oct 20, 2014 9:14:33 PM
$OP, 
GUID,27a106a9-eba3-4309-863a-5066a2c91b35 
Date Analyzed,10/28/2014 14:16

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P5 #Events,P5 %Parent,P5 FSC-A Min,P5 FSC-A Max,P5 FSC-A Geo Mean,P5 FSC-A Mean,P5 FSC-A Median,P5 FSC-A SD,P5 FSC-A rSD,P5 FSC-A %CV,P5 FSC-A %rCV,P5 FSC-A Mode,P5 FSC-W Min,P5 FSC-W Max,P5 FSC-W Geo Mean,P5 FSC-W Mean,P5 FSC-W Median,P5 FSC-W SD,P5 FSC-W rSD,P5 FSC-W %CV,P5 FSC-W %rCV,P5 FSC-W Mode,P5 FSC-H Min,P5 FSC-H Max,P5 FSC-H Geo Mean,P5 FSC-H Mean,P5 FSC-H Median,P5 FSC-H SD,P5 FSC-H rSD,P5 FSC-H %CV,P5 FSC-H %rCV,P5 FSC-H Mode,P5 SSC-A Min,P5 SSC-A Max,P5 SSC-A Geo Mean,P5 SSC-A Mean,P5 SSC-A Median,P5 SSC-A SD,P5 SSC-A rSD,P5 SSC-A %CV,P5 SSC-A %rCV,P5 SSC-A Mode,P5 CD41 Alexa Fluor 488-A Min,P5 CD41 Alexa Fluor 488-A Max,P5 CD41 Alexa Fluor 488-A Geo Mean,P5 CD41 Alexa Fluor 488-A Mean,P5 CD41 Alexa Fluor 488-A Median,P5 CD41 Alexa Fluor 488-A SD,P5 CD41 Alexa Fluor 488-A rSD,P5 CD41 Alexa Fluor 488-A %CV,P5 CD41 Alexa Fluor 488-A %rCV,P5 CD41 Alexa Fluor 488-A Mode,P5 CD55 PE-A Min,P5 CD55 PE-A Max,P5 CD55 PE-A Geo Mean,P5 CD55 PE-A Mean,P5 CD55 PE-A Median,P5 CD55 PE-A SD,P5 CD55 PE-A rSD,P5 CD55 PE-A %CV,P5 CD55 PE-A %rCV,P5 CD55 PE-A Mode,P5 CD45-2 PE-Texas Red-A Min,P5 CD45-2 PE-Texas Red-A Max,P5 CD45-2 PE-Texas Red-A Geo Mean,P5 CD45-2 PE-Texas Red-A Mean,P5 CD45-2 PE-Texas Red-A Median,P5 CD45-2 PE-Texas Red-A SD,P5 CD45-2 PE-Texas Red-A rSD,P5 CD45-2 PE-Texas Red-A %CV,P5 CD45-2 PE-Texas Red-A %rCV,P5 CD45-2 PE-Texas Red-A Mode,P5 Lineage PE-Cy5-A Min,P5 Lineage PE-Cy5-A Max,P5 Lineage PE-Cy5-A Geo Mean,P5 Lineage PE-Cy5-A Mean,P5 Lineage PE-Cy5-A Median,P5 Lineage PE-Cy5-A SD,P5 Lineage PE-Cy5-A rSD,P5 Lineage PE-Cy5-A %CV,P5 Lineage PE-Cy5-A %rCV,P5 Lineage PE-Cy5-A Mode,P5 PI PerCP-Cy5-5-A Min,P5 PI PerCP-Cy5-5-A Max,P5 PI PerCP-Cy5-5-A Geo Mean,P5 PI PerCP-Cy5-5-A Mean,P5 PI PerCP-Cy5-5-A Median,P5 PI PerCP-Cy5-5-A SD,P5 PI PerCP-Cy5-5-A rSD,P5 PI PerCP-Cy5-5-A %CV,P5 PI PerCP-Cy5-5-A %rCV,P5 PI PerCP-Cy5-5-A Mode,P5 CD105 PE-Cy7-A Min,P5 CD105 PE-Cy7-A Max,P5 CD105 PE-Cy7-A Geo Mean,P5 CD105 PE-Cy7-A Mean,P5 CD105 PE-Cy7-A Median,P5 CD105 PE-Cy7-A SD,P5 CD105 PE-Cy7-A rSD,P5 CD105 PE-Cy7-A %CV,P5 CD105 PE-Cy7-A %rCV,P5 CD105 PE-Cy7-A Mode,P5 CD150 APC-A Min,P5 CD150 APC-A Max,P5 CD150 APC-A Geo Mean,P5 CD150 APC-A Mean,P5 CD150 APC-A Median,P5 CD150 APC-A SD,P5 CD150 APC-A rSD,P5 CD150 APC-A %CV,P5 CD150 APC-A %rCV,P5 CD150 APC-A Mode,P5 FcgR Alexa Fluor 700-A Min,P5 FcgR Alexa Fluor 700-A Max,P5 FcgR Alexa Fluor 700-A Geo Mean,P5 FcgR Alexa Fluor 700-A Mean,P5 FcgR Alexa Fluor 700-A Median,P5 FcgR Alexa Fluor 700-A SD,P5 FcgR Alexa Fluor 700-A rSD,P5 FcgR Alexa Fluor 700-A %CV,P5 FcgR Alexa Fluor 700-A %rCV,P5 FcgR Alexa Fluor 700-A Mode,P5 cKit APC-Cy7-A Min,P5 cKit APC-Cy7-A Max,P5 cKit APC-Cy7-A Geo Mean,P5 cKit APC-Cy7-A Mean,P5 cKit APC-Cy7-A Median,P5 cKit APC-Cy7-A SD,P5 cKit APC-Cy7-A rSD,P5 cKit APC-Cy7-A %CV,P5 cKit APC-Cy7-A %rCV,P5 cKit APC-Cy7-A Mode,P5 Sca1 DAPI-A Min,P5 Sca1 DAPI-A Max,P5 Sca1 DAPI-A Geo Mean,P5 Sca1 DAPI-A Mean,P5 Sca1 DAPI-A Median,P5 Sca1 DAPI-A SD,P5 Sca1 DAPI-A rSD,P5 Sca1 DAPI-A %CV,P5 Sca1 DAPI-A %rCV,P5 Sca1 DAPI-A Mode,P5 CD115 BV605 Qdot 605-A Min,P5 CD115 BV605 Qdot 605-A Max,P5 CD115 BV605 Qdot 605-A Geo Mean,P5 CD115 BV605 Qdot 605-A Mean,P5 CD115 BV605 Qdot 605-A Median,P5 CD115 BV605 Qdot 605-A SD,P5 CD115 BV605 Qdot 605-A rSD,P5 CD115 BV605 Qdot 605-A %CV,P5 CD115 BV605 Qdot 605-A %rCV,P5 CD115 BV605 Qdot 605-A Mode,P5 Time Min,P5 Time Max,P5 Time Geo Mean,P5 Time Mean,P5 Time Median,P5 Time SD,P5 Time rSD,P5 Time %CV,P5 Time %rCV,P5 Time Mode
A1,1,100.0,205183,205183,205183,205183,205183,,0,,0.0,205056,101827,101827,101827,101827,101827,,0,,0.0,101632,132057,132057,132057,132057,132057,,0,,0.0,131840,153283,153283,153283,153283,153283,,0,,0.0,153088,132,132,132,132,132,,0,,0.0,130,32,32,32,32,32,,0,,0.0,32,1794,1794,1794,1794,1794,,0,,0.0,1787,3547,3547,3547,3547,3547,,0,,0.0,3538,-121,-121,,-121,-121,,0,,0.0,1,110,110,110,110,110,,0,,0.0,108,-255,-255,,-255,-255,,0,,0.0,1,184,184,184,184,184,,0,,0.0,183,1095,1095,1095,1095,1095,,0,,0.0,1084,103,103,103,103,103,,0,,0.0,102,2514,2514,2514,2514,2514,,0,,0.0,2484,13088,13088,13088,13088,13088,,0,,0.0,13056
A2,1,100.0,145228,145228,145228,145228,145228,,0,,0.0,145152,91287,91287,91287,91287,91287,,0,,0.0,91136,104261,104261,104261,104261,104261,,0,,0.0,104192,70634,70634,70634,70634,70634,,0,,0.0,70400,71,71,71,71,71,,0,,0.0,70,1,1,1,1,1,,0,,0.0,1,655,655,655,655,655,,0,,0.0,649,1207,1207,1207,1207,1207,,0,,0.0,1195,0,0,,0,0,,0,,0.0,1,109,109,109,109,109,,0,,0.0,108,-55,-55,,-55,-55,,0,,0.0,1,20,20,20,20,20,,0,,0.0,19,909,909,909,909,909,,0,,0.0,903,150,150,150,150,150,,0,,0.0,148,2020,2020,2020,2020,2020,,0,,0.0,2019,13331,13331,13331,13331,13331,,0,,0.0,13312
A3,1,100.0,173943,173943,173943,173943,173943,,0,,0.0,173824,91742,91742,91742,91742,91742,,0,,0.0,91648,124257,124257,124257,124257,124257,,0,,0.0,124160,101989,101989,101989,101989,101989,,0,,0.0,101888,38,38,38,38,38,,0,,0.0,38,3742,3742,3742,3742,3742,,0,,0.0,3715,1456,1456,1456,1456,1456,,0,,0.0,1453,6531,6531,6531,6531,6531,,0,,0.0,6511,-185,-185,,-185,-185,,0,,0.0,1,2682,2682,2682,2682,2682,,0,,0.0,2673,552,552,552,552,552,,0,,0.0,548,197,197,197,197,197,,0,,0.0,197,3995,3995,3995,3995,3995,,0,,0.0,3949,73,73,73,73,73,,0,,0.0,71,3237,3237,3237,3237,3237,,0,,0.0,3209,13531,13531,13531,13531,13531,,0,,0.0,13312
A4,1,100.0,250461,250461,250461,250461,250461,,0,,0.0,250368,102327,102327,102327,102327,102327,,0,,0.0,102144,160409,160409,160409,160409,160409,,0,,0.0,160256,113377,113377,113377,113377,113377,,0,,0.0,113152,123,123,123,123,123,,0,,0.0,121,3775,3775,3775,3775,3775,,0,,0.0,3761,252,252,252,252,252,,0,,0.0,251,6608,6608,6608,6608,6608,,0,,0.0,6591,-18,-18,,-18,-18,,0,,0.0,1,4707,4707,4707,4707,4707,,0,,0.0,4684,-123,-123,,-123,-123,,0,,0.0,1,115,115,115,115,115,,0,,0.0,115,674,674,674,674,674,,0,,0.0,674,11,11,11,11,11,,0,,0.0,11,110,110,110,110,110,,0,,0.0,109,13721,13721,13721,13721,13721,,0,,0.0,13568
A5,1,100.0,148587,148587,148587,148587,148587,,0,,0.0,148480,90892,90892,90892,90892,90892,,0,,0.0,90880,107136,107136,107136,107136,107136,,0,,0.0,107008,51105,51105,51105,51105,51105,,0,,0.0,50944,-19,-19,,-19,-19,,0,,0.0,1,1415,1415,1415,1415,1415,,0,,0.0,1400,777,777,777,777,777,,0,,0.0,770,1450,1450,1450,1450,1450,,0,,0.0,1435,-197,-197,,-197,-197,,0,,0.0,1,1292,1292,1292,1292,1292,,0,,0.0,1286,39,39,39,39,39,,0,,0.0,38,12,12,12,12,12,,0,,0.0,11,1274,1274,1274,1274,1274,,0,,0.0,1270,-6,-6,,-6,-6,,0,,0.0,1,1138,1138,1138,1138,1138,,0,,0.0,1124,13916,13916,13916,13916,13916,,0,,0.0,13824
A6,1,100.0,162766,162766,162766,162766,162766,,0,,0.0,162560,91796,91796,91796,91796,91796,,0,,0.0,91648,116204,116204,116204,116204,116204,,0,,0.0,115968,69023,69023,69023,69023,69023,,0,,0.0,68864,62,62,62,62,62,,0,,0.0,62,-22,-22,,-22,-22,,0,,0.0,1,529,529,529,529,529,,0,,0.0,528,629,629,629,629,629,,0,,0.0,626,56,56,56,56,56,,0,,0.0,56,233,233,233,233,233,,0,,0.0,230,3,3,3,3,3,,0,,0.0,3,468,468,468,468,468,,0,,0.0,462,355,355,355,355,355,,0,,0.0,353,115,115,115,115,115,,0,,0.0,115,36218,36218,36218,36218,36218,,0,,0.0,35907,14109,14109,14109,14109,14109,,0,,0.0,14080
A7,1,100.0,154578,154578,154578,154578,154578,,0,,0.0,154368,90865,90865,90865,90865,90865,,0,,0.0,90624,111489,111489,111489,111489,111489,,0,,0.0,111360,60543,60543,60543,60543,60543,,0,,0.0,60416,173,173,173,173,173,,0,,0.0,172,58,58,58,58,58,,0,,0.0,57,2148,2148,2148,2148,2148,,0,,0.0,2146,3702,3702,3702,3702,3702,,0,,0.0,3670,308,308,308,308,308,,0,,0.0,305,268,268,268,268,268,,0,,0.0,267,-392,-392,,-392,-392,,0,,0.0,1,165,165,165,165,165,,0,,0.0,164,951,951,951,951,951,,0,,0.0,948,-11,-11,,-11,-11,,0,,0.0,1,1309,1309,1309,1309,1309,,0,,0.0,1302,14306,14306,14306,14306,14306,,0,,0.0,14080
A8,1,100.0,156529,156529,156529,156529,156529,,0,,0.0,156416,92079,92079,92079,92079,92079,,0,,0.0,91904,111408,111408,111408,111408,111408,,0,,0.0,111360,121102,121102,121102,121102,121102,,0,,0.0,121088,97,97,97,97,97,,0,,0.0,96,1,1,1,1,1,,0,,0.0,1,543,543,543,543,543,,0,,0.0,541,4397,4397,4397,4397,4397,,0,,0.0,4354,-2,-2,,-2,-2,,0,,0.0,1,-1,-1,,-1,-1,,0,,0.0,1,112,112,112,112,112,,0,,0.0,111,366,366,366,366,366,,0,,0.0,362,510,510,510,510,510,,0,,0.0,509,182,182,182,182,182,,0,,0.0,180,1908,1908,1908,1908,1908,,0,,0.0,1900,14498,14498,14498,14498,14498,,0,,0.0,14336
A9,1,100.0,196954,196954,196954,196954,196954,,0,,0.0,196864,97556,97556,97556,97556,97556,,0,,0.0,97536,132309,132309,132309,132309,132309,,0,,0.0,132096,100430,100430,100430,100430,100430,,0,,0.0,100352,74,74,74,74,74,,0,,0.0,72,40,40,40,40,40,,0,,0.0,40,662,662,662,662,662,,0,,0.0,657,4947,4947,4947,4947,4947,,0,,0.0,4918,-444,-444,,-444,-444,,0,,0.0,1,27,27,27,27,27,,0,,0.0,27,452,452,452,452,452,,0,,0.0,450,503,503,503,503,503,,0,,0.0,503,549,549,549,549,549,,0,,0.0,548,81,81,81,81,81,,0,,0.0,81,17751,17751,17751,17751,17751,,0,,0.0,17700,14697,14697,14696,14697,14697,,0,,0.0,14592
A10,1,100.0,197858,197858,197858,197858,197858,,0,,0.0,197632,97030,97030,97030,97030,97030,,0,,0.0,97024,133637,133637,133637,133637,133637,,0,,0.0,133632,116034,116034,116034,116034,116034,,0,,0.0,115968,185,185,185,185,185,,0,,0.0,183,178,178,178,178,178,,0,,0.0,176,1940,1940,1940,1940,1940,,0,,0.0,1923,5977,5977,5977,5977,5977,,0,,0.0,5906,-599,-599,,-599,-599,,0,,0.0,1,45,45,45,45,45,,0,,0.0,45,-264,-264,,-264,-264,,0,,0.0,1,194,194,194,194,194,,0,,0.0,192,1143,1143,1143,1143,1143,,0,,0.0,1138,180,180,180,180,180,,0,,0.0,178,1352,1352,1352,1352,1352,,0,,0.0,1350,14889,14889,14889,14889,14889,,0,,0.0,14848
