Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\Amol progenitor 96.96 index sort\141023EES Amol index plate1\ChipRun.bml,1361995086,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-10-23 14:23:53,00:31:00,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,NTC2,Unknown,1,Actb,Test,19.1884648955665,1,Pass,0.0203271675735251,83.6874405126399,999,1,
S96-A02,NTC2,Unknown,1,Cdkn2d,Test,16.8113866237473,0,Fail,0.0203271675735251,999,81.5370651909449,0,
S96-A03,NTC2,Unknown,1,Fgd5,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A04,NTC2,Unknown,1,Hoxb5,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A05,NTC2,Unknown,1,Myc,Test,18.7962108080715,0,Fail,0.0203271675735251,999,78.7556069827876,0,
S96-A06,NTC2,Unknown,1,vwf,Test,16.7678933014378,0,Fail,0.0203271675735251,999,79.7740092292345,0,
S96-A07,NTC2,Unknown,1,Cdt1,Test,23.3656255264453,0,Fail,0.0203271675735251,999,79.3003959177495,0,
S96-A08,NTC2,Unknown,1,Ikzf1,Test,18.644292646562,0,Fail,0.0203271675735251,999,77.9918282579252,0,
S96-A09,NTC2,Unknown,1,Mitf,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A10,NTC2,Unknown,1,Rbl1,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A11,NTC2,Unknown,1,Trib2,Test,21.1666702899481,1,Pass,0.0203271675735251,80.8446198479076,999,1,
S96-A12,NTC2,Unknown,1,Fli1,Test,18.5648053621573,0,Fail,0.0203271675735251,999,79.2708497893927,0,
S96-A13,NTC2,Unknown,1,Ccnd1,Test,22.3471661253409,0,Fail,0.0203271675735251,999,78.0412000651971,0,
S96-A14,NTC2,Unknown,1,Cebpa,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A15,NTC2,Unknown,1,Flt3,Test,22.1212192520045,1,Fail,0.0203271675735251,80.635601731051,999,1,
S96-A16,NTC2,Unknown,1,Il7r,Test,17.1686050514065,0,Fail,0.0203271675735251,999,72.0814028935677,0,
S96-A17,NTC2,Unknown,1,Nfil3,Test,11.9199440514216,1,Fail,0.0203271675735251,84.94267044895,73.5991885650671,0.815219177995005,
S96-A18,NTC2,Unknown,1,Cbfa2t3,Test,16.0421309436351,0,Fail,0.0203271675735251,999,76.2803808559079,0,
S96-A19,NTC2,Unknown,1,Cebpe,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A20,NTC2,Unknown,1,IKZF2,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A21,NTC2,Unknown,1,Mllt3,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A22,NTC2,Unknown,1,Rbl2,Test,22.3960471357011,1,Fail,0.0203271675735251,79.0699954794693,999,1,
S96-A23,NTC2,Unknown,1,trib3,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A24,NTC2,Unknown,1,Gfi1,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A25,NTC2,Unknown,1,Ccnd2,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A26,NTC2,Unknown,1,Csf2rb,Test,13.9846375710889,0,Fail,0.0203271675735251,999,78.1895888492594,0,
S96-A27,NTC2,Unknown,1,Fos,Test,19.3755982314992,0,Fail,0.0203271675735251,999,80.9923578462945,0,
S96-A28,NTC2,Unknown,1,Jun,Test,18.9648923446397,0,Fail,0.0203271675735251,999,85.5067551314633,0,
S96-A29,NTC2,Unknown,1,Rb1,Test,17.1497434508865,0,Fail,0.0203271675735251,999,77.1395489554176,0,
S96-A30,NTC2,Unknown,1,cbx6,Test,21.3508378608787,0,Fail,0.0203271675735251,999,80.4251947780134,0,
S96-A31,NTC2,Unknown,1,Csf1r,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A32,NTC2,Unknown,1,Itga2b,Test,22.9314486635946,0,Fail,0.0203271675735251,999,81.4877402217776,0,
S96-A33,NTC2,Unknown,1,ndn,Test,999,0,Fail,0.0203271675735251,999,999,0,
S96-A34,NTC2,Unknown,1,Runx1,Test,14.9157078286355,0,Fail,0.0203271675735251,999,75.9064129250918,0,
S96-A35,NTC2,Unknown,1,zbtb20,Test,23.503800832641,0,Fail,0.0203271675735251,999,77.5097520602131,0,
S96-A36,NTC2,Unknown,1,Hhex ,Test,21.184610404031,1,Pass,0.0203271675735251,83.1898931311832,999,1,
