Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\141104EES Plate3 Amol index\ChipRun.bml,1361995087,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-11-04 16:17:18,00:30:47,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A52,NTC4,Unknown,1,Lmo2,Test,22.3043084336016,0,Fail,0.01733464063088,999,79.0852077594639,0,
S96-A51,NTC4,Unknown,1,Gata1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A50,NTC4,Unknown,1,Dntt,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A49,NTC4,Unknown,1,Cd34,Test,22.5762556967406,0,Fail,0.01733464063088,999,75.3306764055004,0,
S96-A60,NTC4,Unknown,1,Nfe2,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A59,NTC4,Unknown,1,Zfp612,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A58,NTC4,Unknown,1,Tcf3,Test,14.2888716023163,1,Pass,0.01733464063088,85.5375611191425,999,1,
S96-A57,NTC4,Unknown,1,Nkx2-3,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A56,NTC4,Unknown,1,Ly6a,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A55,NTC4,Unknown,1,Etv6,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A66,NTC4,Unknown,1,CDK2,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A65,NTC4,Unknown,1,Tal1,Test,17.5285335624056,0,Fail,0.01733464063088,999,81.7275268687659,0,
S96-A64,NTC4,Unknown,1,Meis1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A63,NTC4,Unknown,1,Gata2,Test,20.080580799178,0,Fail,0.01733464063088,999,77.9235925586849,0,
S96-A62,NTC4,Unknown,1,Ebf1,Test,17.8092024085872,0,Fail,0.01733464063088,999,77.225257606652,0,
S96-A61,NTC4,Unknown,1,Cd48,Test,24.1588087301309,0,Fail,0.01733464063088,999,78.6575563189479,0,
S96-A72,NTC4,Unknown,1,Pbx1,Test,22.5997602308112,1,Fail,0.01733464063088,81.8501787032253,999,1,
S96-A71,NTC4,Unknown,1,Zfpm1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A70,NTC4,Unknown,1,Tcf7,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A69,NTC4,Unknown,1,Notch1,Test,14.6909779874589,0,Fail,0.01733464063088,999,76.2747510150025,0,
S96-A68,NTC4,Unknown,1,Lyl1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A67,NTC4,Unknown,1,Ezh1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A78,NTC4,Unknown,1,CDK4,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A77,NTC4,Unknown,1,Tcfe2a,Test,13.6728003143114,1,Pass,0.01733464063088,84.2772621158861,999,1,
S96-A76,NTC4,Unknown,1,Mpl,Test,18.4268616227711,0,Fail,0.01733464063088,999,79.6283636269398,0,
S96-A75,NTC4,Unknown,1,Gfi1b,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A74,NTC4,Unknown,1,Egr1,Test,19.2254215651425,0,Fail,0.01733464063088,999,79.080535689157,0,
S96-A73,NTC4,Unknown,1,Cdkn1a,Test,19.4550037656774,0,Fail,0.01733464063088,999,76.9910628497792,0,
S96-A84,NTC4,Unknown,1,pbx3,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A83,NTC4,Unknown,1,Cebpb,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A82,NTC4,Unknown,1,TEK,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A81,NTC4,Unknown,1,Prdm5,Test,16.0551320425048,1,Fail,0.01733464063088,80.7320792443329,999,1,
S96-A80,NTC4,Unknown,1,Mdm2,Test,26.885355619573,0,Fail,0.01733464063088,999,77.0739381545372,0,
S96-A79,NTC4,Unknown,1,GMNN,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A90,NTC4,Unknown,1,CDK6,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A89,NTC4,Unknown,1,Trp53,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A88,NTC4,Unknown,1,Myb,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A87,NTC4,Unknown,1,Hlf,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A86,NTC4,Unknown,1,Ezh2,Test,18.5107306737682,1,Fail,0.01733464063088,77.9329438158776,999,1,
S96-A85,NTC4,Unknown,1,Cdkn1b,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A96,NTC4,Unknown,1,Runx1t1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A95,NTC4,Unknown,1,Erg,Test,17.7133388917421,0,Fail,0.01733464063088,999,78.9373384602817,0,
S96-A94,NTC4,Unknown,1,Tgm2,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A93,NTC4,Unknown,1,Prmt2,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A92,NTC4,Unknown,1,mettl7a1,Test,22.5477372250857,0,Fail,0.01733464063088,999,77.088322756078,0,
S96-A91,NTC4,Unknown,1,Hk3,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A01, P3 A6,Unknown,1,Actb,Test,9.35375125885071,1,Pass,0.01733464063088,83.8776145510033,999,1,
